province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v,time
上海|上海,上海|上海,73.61391173333332,111.81610756666666,32.8156882,54.18980823333333,0.9815668816666666,44.258916766666665,286.88425466666666,59.4218734,102239.00376666666,1.3642808336666665,-1.8813324993333334,2013-11-01
中国香港,九龙城区,29.079413666666667,39.8852516,8.675451873333333,18.94260225,0.5854117283333333,72.03627916666666,295.0262996666667,66.536818,101638.51353333333,-5.712860216666667,-5.54331515,2013-11-01
中国香港,元朗,42.3494506,64.81141846666667,12.008199266666667,42.5306435,0.9918769216666666,55.17358453333333,293.4293323333333,64.06113296666666,100983.23856666667,-6.335822766666666,-5.5918668516666665,2013-11-01
中国香港,大埔区,35.13444326666667,51.4665455,9.604671916666666,25.50045898333333,0.778005832,69.71472236666666,293.9385486666667,70.6236722,100996.3328,-6.587822773333333,-6.510582293333333,2013-11-01
中国香港,西貢,31.710488766666668,44.694622833333334,8.710290606666666,17.3998252,0.6521938146666667,74.92283873333332,294.575341,69.73147313333334,101405.6528,-6.674123363333334,-6.645852026666666,2013-11-01
內蒙古自治區|内蒙古自治区,乌兰察布市,18.41160603333333,32.69493443333333,11.373343636666668,9.208492646666667,0.6899821526666667,50.358834900000005,269.106177,53.45284506666667,86221.56753333333,5.803846396666667,-1.6390045456666666,2013-11-01
內蒙古自治區|内蒙古自治区,乌海市,33.6437231,60.999607233333336,122.68470776666666,41.390818366666664,0.9959659643333333,31.565273433333335,272.657242,39.49051516666667,86724.65383333334,3.902721139666667,-1.4791792526666667,2013-11-01
內蒙古自治區|内蒙古自治区,兴安盟,8.019878663333333,9.564456126666666,5.495989173333333,3.1355120233333333,0.24002688566666666,51.10413763333334,268.84554066666664,58.211818433333335,94801.80513333334,5.221065976666667,-3.9013302333333333,2013-11-01
內蒙古自治區|内蒙古自治区,包头市,18.946620833333334,32.69414088,12.67660243,11.398597813333334,0.538136606,50.11675453333333,269.4613066666667,50.3353433,86030.43433333332,5.002199897666667,-1.254424563633333,2013-11-01
內蒙古自治區|内蒙古自治区,呼伦贝尔市,3.8808760426666664,4.638592956666667,4.3179785,2.423242746666667,0.20331382366666664,50.96322586666667,264.861451,73.79208133333333,93316.58713333333,3.8983192079999998,-2.1201800975,2013-11-01
內蒙古自治區|内蒙古自治区,呼和浩特市,44.00723456666666,94.0650179,26.4308127,28.162253766666666,1.7149257933333333,34.739798666666665,270.87253566666664,48.7049378,87030.88823333333,3.779939724566667,-1.3641913296666668,2013-11-01
內蒙古自治區|内蒙古自治区,巴彦淖尔市,11.065552416666666,15.269985096666666,7.803611340000001,4.4935250333333325,0.2612357243333333,52.87086896666666,271.18772633333333,43.43266466666667,87839.24266666666,4.2210449966666665,-0.7077619313333333,2013-11-01
內蒙古自治區|内蒙古自治区,赤峰市,11.932644496666665,16.113523753333332,8.338828993333333,5.07596383,0.27355351699999997,52.47672733333333,270.576616,51.678488933333334,92026.21423333333,6.14312935,-3.815884929,2013-11-01
內蒙古自治區|内蒙古自治区,通辽市,15.248293553333333,18.848087833333334,11.758335453333332,7.665442986666666,0.2961453876666667,45.38405076666666,272.2522376666667,51.4991443,97827.79823333333,4.745873325000001,-3.0689954656666667,2013-11-01
內蒙古自治區|内蒙古自治区,鄂尔多斯市,23.198519716666667,42.5792741,28.43115603333333,17.013419453333334,0.5063051393333333,45.54479516666667,273.14950866666663,40.1213646,87568.4946,3.769827961,-1.5736530716666666,2013-11-01
內蒙古自治區|内蒙古自治区,锡林郭勒盟,6.550843367666667,7.657355043333333,4.203574343333333,2.1471372423333337,0.19616995566666665,54.35754106666666,267.668716,63.344944033333334,89159.8709,5.45994957,-1.3245117755666667,2013-11-01
內蒙古自治區|内蒙古自治区,阿拉善盟,11.684182061,15.37453058,7.764304943333333,3.041408005333333,0.25586984,54.304886233333335,273.560226,38.54133,88197.5123,3.0856125333333333,-1.3203815407666668,2013-11-01
北京|北京,北京|北京,53.13304241666666,76.78806163333334,19.19964518,39.209849299999995,0.9348742473333334,34.85673751666666,277.6449943333334,34.28833196666667,98164.05386666667,2.9721426623333334,-3.3218616814333335,2013-11-01
吉林,吉林市,48.70733263333333,68.24440036666667,18.887160166666668,21.961789956666667,0.9832890093333333,43.3046307,270.41676233333334,73.37567083333333,96993.70853333334,4.069302210666667,1.7457132423333335,2013-11-01
吉林,四平市,44.56580039999999,64.7339777,19.108279023333335,22.014740463333336,0.685551758,39.9483175,271.646469,64.75916226666666,99360.8443,4.094692863666666,0.0999819266666667,2013-11-01
吉林,延边朝鲜族自治州,32.97122818333334,37.54283606666667,12.954586743333332,11.6484592,0.45208431499999996,44.491507266666666,269.85602966666664,69.9473733,93818.46816666666,6.054092381933333,0.7467556036666667,2013-11-01
吉林,松原市,36.76334632666667,50.53638696666667,15.514726026666667,16.245497893333333,0.53224644,38.89584143333333,270.9099493333333,61.550993899999995,99737.67770000001,4.037289418466667,-0.9261629873333332,2013-11-01
吉林,白城市,18.35051719,22.001204246666664,9.038054483333333,6.882145606666667,0.30986405433333336,43.0459059,271.3753403333333,53.35781643333333,99900.8147,3.6003832593333334,-2.652016402666667,2013-11-01
吉林,白山市,37.23500118333333,42.918098650000005,16.08542074,14.287486683333332,0.45818338366666667,43.187521100000005,268.902986,76.6851024,92063.79000000001,3.797601411,2.103360513666667,2013-11-01
吉林,辽源市,48.530027116666666,66.00019406666667,22.50573758333333,24.33842599,0.7633373146666667,39.42469356666667,271.33535466666666,71.44650833333334,97475.36733333333,4.6301598109999995,1.0898495095666665,2013-11-01
